"start","end","data__country","data__one","data__two","data__three","data__four","data__five","data__six","data__seven","data__eight","data__nine","data__ten","data__unsure","data__no_ans","data__n","data__mean","data__deviation","data__base_mean"
"1995","1999","Total","42.4","5.8","6.2","4.9","14.9","5.9","3.9","4.2","2.1","5.4","4","0.1","40.035","3.51","2.85","38.388"
"","","Argentina","45","5.1","6.9","4.3","17.6","3.4","4.1","3.4","1.2","6.4","2.7","0","1.079","3.41","2.83","1.05"
"","","Australia","23.1","5","6.3","4.1","24.4","6.2","7.8","8.2","3.9","8.8","2.3","0","2.048","4.81","2.92","2.001"
"","","Brazil","74.6","4.8","2.9","2.4","6.9","1.7","1","1.3","0.6","3.1","0.6","0","1.143","2.03","2.19","1.136"
"","","Chile","67.8","6","5","3.7","8","1.8","2","1.5","0.3","2.9","1","0","1","2.2","2.22","990"
"","","China","29.2","7.1","7.9","6.8","21.9","4.1","2.6","3","1.9","8.7","6.7","0","1.5","4.03","2.88","1.4"
"","","Taiwan","45.4","11.5","7.8","5.1","14.1","5.6","2.9","2.3","0.8","2.4","1.4","0.5","780","2.93","2.38","765"
"","","Colombia","75.5","7","3.2","2.9","4.8","1.8","0.9","0.9","0.8","1.5","0.7","0","3.029","1.82","1.87","3.007"
"","","Georgia","28","5.3","8.2","9.6","19.9","10.8","6.1","4.3","1.3","1.9","4.6","0","2.008","3.92","2.44","1.916"
"","","India","52.1","7.7","11.8","5.2","10.3","2.6","1","1.7","1.1","2.3","4.2","0","2.04","2.55","2.23","1.954"
"","","Japan","20.9","6.5","10.1","6.1","21.4","10.3","5.4","5.4","2.2","4.5","7.3","0","1.054","4.35","2.6","977"
"","","South Korea","37.1","9.6","9.8","7.4","17.8","6.5","4.6","3.5","1.4","2","0.3","0","1.249","3.37","2.43","1.245"
"","","Mexico","57","6.1","5.2","3","11.7","3.9","2.6","1.6","1.9","3.6","3.5","0","1.51","2.72","2.56","1.457"
"","","New Zealand","17.2","4","7.1","5.4","19.6","10.2","8.6","8.3","4.2","7.7","5.5","2.2","1.201","5.08","2.8","1.109"
"","","Nigeria","70.2","8.3","4.8","4.5","5.4","2.9","1","0.5","0.4","1.6","0.1","0.4","1.996","1.95","1.88","1.987"
"","","Peru","62.4","7.8","6.4","2.6","8.2","2.4","2","2.5","0.7","2.2","3","0","1.211","2.31","2.26","1.175"
"","","Philippines","57.8","12.3","7.8","6.1","7.7","2.7","1.2","1.2","1.1","2","0.2","0","1.2","2.33","2.12","1.197"
"","","Poland","42.2","6.8","6.6","4.2","14.1","8.2","4.1","5.7","4.3","1.7","2.1","0","1.153","3.5","2.74","1.129"
"","","Russia","16.4","2.6","7.5","6.8","28.5","7.9","5.7","7.1","3","7.4","7","0","2.04","4.94","2.64","1.897"
"","","Slovenia","24.7","3.4","3.9","3.3","5.1","17.9","4.8","9","7.1","20.6","0.3","0","1.007","5.66","3.39","1.004"
"","","South Africa","62.8","4.2","3.9","4","10.2","3.9","2.3","2","0.5","2.7","3.6","0","2.935","2.45","2.37","2.829"
"","","Spain","31.7","5.1","3.4","5.7","19.3","5.9","5.5","3.8","3.3","11.3","5.1","0","1.211","4.4","3.14","1.15"
"","","Sweden","5","1.7","4.1","3.5","3.6","19.4","7.1","17.5","10.7","24.2","3.3","0","1.009","7.21","2.54","976"
"","","Ukraine","24.2","3.3","6.7","5.6","21.4","6.2","4.6","5.3","2.3","4.4","16.1","0","2.811","4.25","2.72","2.359"
"","","United States","32.8","6.2","6.8","5.5","21","5.9","5.4","4.8","2.4","5.4","3.7","0","1.542","3.95","2.79","1.486"
"","","Uruguay","46.2","3.1","4.4","2.8","17.6","2.3","3","4.2","0.7","12.6","3","0","1","3.77","3.24","969"
"","","Serbia","15.2","4.1","5.9","6.1","23.6","11.5","10.3","9.3","3.5","6.2","4.4","0","1.28","5.15","2.62","1.224"
"2000","2004","Total","54.7","8.1","5.6","3.3","9.4","3.5","3.4","3","1.8","4.5","2.8","0.1","31.725","2.85","2.71","30.813"
"","","Argentina","63.2","3.1","2.4","2.1","12.9","4","2","1.9","0.9","3.7","3.7","0","1.28","2.58","2.54","1.232"
"","","Chile","65.7","5.9","4.5","3.2","6.1","3.4","2.2","2.3","1.3","3.4","2","0","1.2","2.39","2.46","1.176"
"","","China","54.5","7.4","3.6","1.8","8.5","2.3","1.7","3","2.1","12.4","0.1","2.6","1","3.31","3.3","973"
"","","India","58.6","0.1","3.7","0","2.2","0","14.7","0","0.2","10","10.3","0.1","2.002","3.19","3.3","1.794"
"","","Iraq","76.9","13.6","2.8","1","1","0.4","0.4","0.8","2.4","0.6","0","0","2.325","1.61","1.67","2.325"
"","","Japan","13.1","6.6","11.2","6.8","19.2","13.1","5.6","7.9","2.3","4","10.1","0","1.362","4.73","2.5","1.224"
"","","Jordan","83.7","2.9","3.9","2.1","3.8","1.3","0.2","0.5","0.5","0","1","0.2","1.223","1.48","1.33","1.208"
"","","South Korea","36.8","10.8","10.2","7.1","17.1","4.8","5.5","3.8","2.2","1.7","0.1","0","1.2","3.37","2.46","1.199"
"","","Mexico","67.1","3.2","3.4","1.5","7.3","2.3","2","2.9","2.1","5.3","3.1","0","1.535","2.56","2.77","1.488"
"","","Morocco","85.7","0.4","1","0.8","8","0.7","0.1","0.3","0.4","1.7","0.7","0","1.251","1.63","1.75","1.241"
"","","Nigeria","74.2","12.1","4.4","2.9","1.6","1.7","0.9","0.7","0.9","0.6","0","0","2.022","1.68","1.59","2.022"
"","","Pakistan","54.1","14.3","9.4","4.5","7.4","0.3","0.4","0.1","0.3","0.1","9","0","2","1.92","1.43","1.82"
"","","Peru","73.1","9.1","4","3.1","5.5","1.3","0.5","0.8","0.6","1.3","0.7","0","1.501","1.81","1.78","1.49"
"","","Philippines","55.1","12.5","5.1","4","8.7","2.7","2.2","2.7","1.5","5.3","0.3","0","1.2","2.75","2.66","1.196"
"","","South Africa","52.2","6.8","4.1","3.6","15.9","4.4","3.2","3.4","2.5","2.4","1.4","0","3","3","2.61","2.958"
"","","Spain","22.6","6.7","5.4","5.2","20.5","8","6.8","7.4","3.9","10.9","2.6","0","1.209","4.87","3.01","1.177"
"","","Sweden","5.3","1.6","4.2","3.2","11.5","7.5","8.1","13.8","7.9","34.7","2.2","0","1.014","7.38","2.72","992"
"","","Egypt","56.3","16.3","10.7","3.9","5.6","2.5","1.8","1.5","0.7","0.5","0.3","0","3","2.15","1.83","2.992"
"","","United States","29.5","7","6.2","5.5","15.3","12.1","5.8","7","2.8","8.1","0.7","0","1.2","4.39","2.97","1.191"
"","","Serbia","18.8","4.8","8.1","5.2","24.2","6.4","7.2","9.2","3.2","5.8","7.2","0","1.2","4.78","2.73","1.114"
